sno,dev2_url,dev2_status_code,dev2_response_time,dev2_count,dev2_response,prod_url,prod_status_code,prod_count,prod_response
1,https://dev2apis.tradeindia.com/manufacturers/manufacturers/single-api?url=/manufacturers/1-3-dibromopropane.html&page=1&per_page=28&current_page=1&top_rated_seller_limit=5&top_rated_product_limit=10&testimonial_limit=10&complete_url=/manufacturers/1-3-dibromopropane.html,200,2.015948,181,SUCCESS,https://api.tradeindia.com/manufacturers/manufacturers/single-api?url=/manufacturers/1-3-dibromopropane.html&page=1&per_page=28&current_page=1&top_rated_seller_limit=5&top_rated_product_limit=10&testimonial_limit=10&complete_url=/manufacturers/1-3-dibromopropane.html,200,229,SUCCESS
2,https://dev2apis.tradeindia.com/manufacturers/manufacturers/single-api?url=/manufacturers/1-3-difluorobenzene.html&page=1&per_page=28&current_page=1&top_rated_seller_limit=5&top_rated_product_limit=10&testimonial_limit=10&complete_url=/manufacturers/1-3-difluorobenzene.html,200,1.103074,108,SUCCESS,https://api.tradeindia.com/manufacturers/manufacturers/single-api?url=/manufacturers/1-3-difluorobenzene.html&page=1&per_page=28&current_page=1&top_rated_seller_limit=5&top_rated_product_limit=10&testimonial_limit=10&complete_url=/manufacturers/1-3-difluorobenzene.html,200,141,SUCCESS
3,https://dev2apis.tradeindia.com/manufacturers/manufacturers/single-api?url=/manufacturers/1-4-butynediol.html&page=1&per_page=28&current_page=1&top_rated_seller_limit=5&top_rated_product_limit=10&testimonial_limit=10&complete_url=/manufacturers/1-4-butynediol.html,200,1.563906,53,SUCCESS,https://api.tradeindia.com/manufacturers/manufacturers/single-api?url=/manufacturers/1-4-butynediol.html&page=1&per_page=28&current_page=1&top_rated_seller_limit=5&top_rated_product_limit=10&testimonial_limit=10&complete_url=/manufacturers/1-4-butynediol.html,200,57,SUCCESS
